Field=#~Integer~#~50|Field=Designator~String~Designator~93|Field=Comment~String~Comment~156|Field=Description~String~Description~196|Field=Footprint~String~Footprint~146|Field=S.Description~String~S.Description~100|Field=Manufacturer 1~String~Manufacturer 1~99|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~99|Field=Supplier 1~String~Supplier 1~69|Field=Supplier Currency 1~String~Supplier Currency 1~52|Field=Supplier Stock 1~Integer~Supplier Stock 1~65|Field=Supplier Part Number 1~String~Supplier Part Number 1~147|Field=Quantity~Integer~Quantity~49|Field=Supplier Order Qty 1~Integer~Supplier Order Qty 1~43|Field=Supplier Unit Price 1~Float~Supplier Unit Price 1~76|Field=Supplier Subtotal 1~Float~Supplier Subtotal 1~131|Field=Divider~String~Divider~100|ReportField=Currency~EUR|ReportField=ProductionQuantity~20|ReportField=ProjectFileName~N-DAP.PrjPcb|ReportField=ProjectFullPath~C:\Users\fernando.cosentino\workspace\n-dap\N-DAP.PrjPcb|ReportField=Title~PurchaseList.xlsx For Project [N-DAP.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~33|ReportField=ReportTime~17:12:07|ReportField=ReportDate~17/10/2017|ReportField=ReportDateTime~17/10/2017 17:12:07|ReportField=OutputName~PurchaseList.xlsx|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=OrderQty~20|ReportField=prj~n-DAP|ReportField=txt~"mbed-enable"|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=ConfiguratorName~|ReportField=CurrentDate~17/10/2017|ReportField=CurrentTime~17:07:55|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\fernando.cosentino\workspace\n-dap\N-DAP.SchDoc|ReportField=DocumentName~N-DAP.SchDoc|ReportField=DocumentNumber~1|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=IsUserConfigurable~|ReportField=ModifiedDate~17/10/2017|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=True:CenterVertical=True:PrintScale=0.05:XCorrection=1.00:YCorrection=1.00:PrintKind=0:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=2:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=7:PrintQuality=-3:MediaType=1:DitherType=10:PrintScaleMode=1:PaperKind=12mm:PaperIndex=126|ReportField=ProjectName~N-DAP.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~1|ReportField=Time~|ReportField=Title~|ReportField=VersionControl_RevNumber~|ReportField=DataSourceFileName~N-DAP.PrjPcb|ReportField=DataSourceFullPath~C:\Users\fernando.cosentino\workspace\n-dap\N-DAP.PrjPcb|ReportField=PCBConfigurationName~Default Configuration|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|C1, C4, C5|100nF|CAPACITOR|0603_cap|Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 0.1uF 10% X7R|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAVX%26mpn%3D06035C104KAT2A%26seller%3DMouser%26sku%3D581-06035C104KAT2A%26country%3DIE%26channel%3DBOM%2520Report%26{URL.TEXT}AVX{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAVX%26mpn%3D06035C104KAT2A%26seller%3DMouser%26sku%3D581-06035C104KAT2A%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}06035C104KAT2A{URL.TIP}Manufacturer|Mouser|EUR|448529|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAVX%26mpn%3D06035C104KAT2A%26seller%3DMouser%26sku%3D581-06035C104KAT2A%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}581-06035C104KAT2A{URL.TIP}Supplier|3|100|0.016|1.6|1
2|C2, C3|18pF|CAPACITOR|0603_cap|Multilayer Ceramic Capacitors MLCC - SMD/SMT 25volts 18pF 2% C0G|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAVX%26mpn%3D02013A180GAT2A%26seller%3DMouser%26sku%3D581-02013A180GAT2A%26country%3DIE%26channel%3DBOM%2520Report%26{URL.TEXT}AVX{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAVX%26mpn%3D02013A180GAT2A%26seller%3DMouser%26sku%3D581-02013A180GAT2A%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}02013A180GAT2A{URL.TIP}Manufacturer|Mouser|EUR|33130|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAVX%26mpn%3D02013A180GAT2A%26seller%3DMouser%26sku%3D581-02013A180GAT2A%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}581-02013A180GAT2A{URL.TIP}Supplier|2|40|0.286|11.44|1
3|C6, C7|33pF|CAPACITOR|0603_cap|Multilayer Ceramic Capacitors MLCC - SMD/SMT 50volts 33pF 5% C0G|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAVX%26mpn%3D06035A330JAT2A%26seller%3DMouser%26sku%3D581-06035A330J%26country%3DIE%26channel%3DBOM%2520Report%26{URL.TEXT}AVX{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAVX%26mpn%3D06035A330JAT2A%26seller%3DMouser%26sku%3D581-06035A330J%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}06035A330JAT2A{URL.TIP}Manufacturer|Mouser|EUR|85002|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DAVX%26mpn%3D06035A330JAT2A%26seller%3DMouser%26sku%3D581-06035A330J%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}581-06035A330J{URL.TIP}Supplier|2|40|0.065|2.6|1
4|C8, C10|1uF/MLCC|CAPACITOR|0603_CAP|Multilayer Ceramic Capacitors MLCC - SMD/SMT 0603 1.0uF 16volts X7R 10%|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%26mpn%3DGCM188R71C105KA64D%26seller%3DMouser%26sku%3D81-GCM188R71C105K64D%26country%3DIE%26channel%3DBOM%2520Report%26{URL.TEXT}Murata%20Electronics{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%26mpn%3DGCM188R71C105KA64D%26seller%3DMouser%26sku%3D81-GCM188R71C105K64D%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}GCM188R71C105KA64D{URL.TIP}Manufacturer|Mouser|EUR|160|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DMurata%2520Electronics%26mpn%3DGCM188R71C105KA64D%26seller%3DMouser%26sku%3D81-GCM188R71C105K64D%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}81-GCM188R71C105K64D{URL.TIP}Supplier|2|40|0.178|7.12|1
5|D1|LED_RED_0603||0603_LED_RED||{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOSRAM%2520Opto%2520Semiconductors%26mpn%3DLS%2520L29K-G1J2-1-Z%26seller%3DMouser%26sku%3D720-LSL29K-G1J2-1-Z%26country%3DIE%26channel%3DBOM%2520Report%26{URL.TEXT}OSRAM%20Opto%20Semiconductors{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOSRAM%2520Opto%2520Semiconductors%26mpn%3DLS%2520L29K-G1J2-1-Z%26seller%3DMouser%26sku%3D720-LSL29K-G1J2-1-Z%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}LS%20L29K-G1J2-1-Z{URL.TIP}Manufacturer|Mouser|EUR|0|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOSRAM%2520Opto%2520Semiconductors%26mpn%3DLS%2520L29K-G1J2-1-Z%26seller%3DMouser%26sku%3D720-LSL29K-G1J2-1-Z%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}720-LSL29K-G1J2-1-Z{URL.TIP}Supplier|1|20|0.195|3.9|1
6|D2|LED_GRN_0603||0603_LED_GRN|Standard LEDs - SMD Green, 570nm 10mcd, 2mA|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOSRAM%2520Opto%2520Semiconductors%26mpn%3DLG%2520L29K-F2J1-24-Z%26seller%3DMouser%26sku%3D720-LGL29KF2J124Z%26country%3DIE%26channel%3DBOM%2520Report%26{URL.TEXT}OSRAM%20Opto%20Semiconductors{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOSRAM%2520Opto%2520Semiconductors%26mpn%3DLG%2520L29K-F2J1-24-Z%26seller%3DMouser%26sku%3D720-LGL29KF2J124Z%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}LG%20L29K-F2J1-24-Z{URL.TIP}Manufacturer|Mouser|EUR|0|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOSRAM%2520Opto%2520Semiconductors%26mpn%3DLG%2520L29K-F2J1-24-Z%26seller%3DMouser%26sku%3D720-LGL29KF2J124Z%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}720-LGL29KF2J124Z{URL.TIP}Supplier|1|20|0.169|3.38|1
7|D3|LED_BLU_0603||0603_LED_BLU|Standard LEDs - SMD Blue, 470nm 45mcd, 5mA|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOSRAM%2520Opto%2520Semiconductors%26mpn%3DLB%2520Q39G-L2OO-35-1%26seller%3DMouser%26sku%3D720-LBQ39GL2N2351%26country%3DIE%26channel%3DBOM%2520Report%26{URL.TEXT}OSRAM%20Opto%20Semiconductors{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOSRAM%2520Opto%2520Semiconductors%26mpn%3DLB%2520Q39G-L2OO-35-1%26seller%3DMouser%26sku%3D720-LBQ39GL2N2351%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}LB%20Q39G-L2OO-35-1{URL.TIP}Manufacturer|Mouser|EUR|218238|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DOSRAM%2520Opto%2520Semiconductors%26mpn%3DLB%2520Q39G-L2OO-35-1%26seller%3DMouser%26sku%3D720-LBQ39GL2N2351%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}720-LBQ39GL2N2351{URL.TIP}Supplier|1|20|0.169|3.38|1
8|D5|NSR20F30NXT5G|DIODE|0603_DIODE-CDSU101A|Schottky Diodes & Rectifiers 0603 FC SCHOTTKY DIODES|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%26mpn%3DNSR20F30NXT5G%26seller%3DMouser%26sku%3D863-NSR20F30NXT5G%26country%3DIE%26channel%3DBOM%2520Report%26{URL.TEXT}ON%20Semiconductor{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%26mpn%3DNSR20F30NXT5G%26seller%3DMouser%26sku%3D863-NSR20F30NXT5G%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}NSR20F30NXT5G{URL.TIP}Manufacturer|Mouser|EUR|8268|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DON%2520Semiconductor%26mpn%3DNSR20F30NXT5G%26seller%3DMouser%26sku%3D863-NSR20F30NXT5G%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}863-NSR20F30NXT5G{URL.TIP}Supplier|1|20|0.324|6.48|1
9|JP2|USB-MINI-B||USB-MINI-B-HIR-UX60A-MB-5ST|USB Connectors MINI B RECEPT RA SMT W/O POST|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DHirose%2520Connector%26mpn%3DUX60A-MB-5ST%26seller%3DMouser%26sku%3D798-UX60A-MB-5ST%26country%3DIE%26channel%3DBOM%2520Report%26{URL.TEXT}Hirose%20Connector{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DHirose%2520Connector%26mpn%3DUX60A-MB-5ST%26seller%3DMouser%26sku%3D798-UX60A-MB-5ST%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}UX60A-MB-5ST{URL.TIP}Manufacturer|Mouser|EUR|18358|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DHirose%2520Connector%26mpn%3DUX60A-MB-5ST%26seller%3DMouser%26sku%3D798-UX60A-MB-5ST%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}798-UX60A-MB-5ST{URL.TIP}Supplier|1|20|0.632|12.64|1
10|Q1|BSS84,215|POWER MOSFET-P SOT23|SOT323/SC70-3_SMALL|MOSFET -50V 200mW|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDiodes%2520Incorporated%26mpn%3DBSS84W-7-F%26seller%3DMouser%26sku%3D621-BSS84W-F%26country%3DIE%26channel%3DBOM%2520Report%26{URL.TEXT}Diodes%20Incorporated{URL.TIP}Component|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDiodes%2520Incorporated%26mpn%3DBSS84W-7-F%26seller%3DMouser%26sku%3D621-BSS84W-F%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dman%26{URL.TEXT}BSS84W-7-F{URL.TIP}Manufacturer|Mouser|EUR|0|{URL}https:%2F%2Foctopart-clicks.com%2Fclick%2Faltium%3Fmanufacturer%3DDiodes%2520Incorporated%26mpn%3DBSS84W-7-F%26seller%3DMouser%26sku%3D621-BSS84W-F%26country%3DIE%26channel%3DBOM%2520Report%26ref%3Dsupplier%26{URL.TEXT}621-BSS84W-F{URL.TIP}Supplier|1|20|0.226|4.52|1
